Temperature (K)	Resistance (ohm)	Applied Voltage (V)
294.983500	1992.992638	0.200000
294.976000	1998.804715	0.200000
294.979000	1998.453197	0.200000
294.973500	1997.980042	0.200000
294.970500	1997.556988	0.200000
294.973000	1997.890228	0.200000
294.966000	1997.630810	0.200000
294.963000	1997.796431	0.200000
294.974000	1996.368606	0.200000
294.973500	1996.783182	0.200000
294.969000	1996.773214	0.200000
294.958500	1998.123762	0.200000
294.966000	1995.878511	0.200000
294.969000	1996.783182	0.200000
294.966000	1996.406468	0.200000
294.967500	1995.753038	0.200000
294.968000	1995.611650	0.200000
294.961000	1996.402483	0.200000
294.968000	1996.464262	0.200000
294.962000	1996.432375	0.200000
294.969000	1996.607763	0.200000
294.970500	1996.286906	0.200000
294.968500	1996.783182	0.200000
294.970500	1995.416528	0.200000
294.969000	1996.789163	0.200000
294.966000	1996.466255	0.200000
294.953000	1996.282921	0.200000
294.965500	1995.048290	0.200000
294.964000	1995.583773	0.200000
294.963500	1996.137474	0.200000
294.964500	1996.111575	0.200000
294.965000	1995.874527	0.200000
294.960000	1995.094064	0.200000
294.963500	1995.609659	0.200000
294.962000	1995.374721	0.200000
294.974000	1996.328751	0.200000
294.953000	1995.342870	0.200000
294.962000	1995.225426	0.200000
294.969000	1994.952769	0.200000
294.959500	1995.370740	0.200000
294.960000	1995.187607	0.200000
294.956000	1994.823433	0.200000
294.963500	1994.952769	0.200000
294.960000	1994.638412	0.200000
294.957000	1995.052270	0.200000
294.953000	1995.589747	0.200000
294.958000	1995.380694	0.200000
294.956000	1994.948790	0.200000
294.960500	1995.824735	0.200000
294.956500	1995.870544	0.200000
294.952000	1995.171685	0.200000
294.956000	1995.090083	0.200000
294.959000	1996.093645	0.200000
294.958000	1995.500147	0.200000
294.952500	1994.580724	0.200000
294.962000	1994.907002	0.200000
294.957000	1994.948790	0.200000
294.951000	1995.731131	0.200000
294.952000	1995.169694	0.200000
294.952500	1994.310233	0.200000
294.942000	1994.843330	0.200000
294.952500	1994.489226	0.200000
294.954000	1994.769714	0.200000
294.953000	1995.402592	0.200000
294.946000	1995.530013	0.200000
294.948000	1994.532985	0.200000
294.948500	1995.876519	0.200000
294.934500	1994.298301	0.200000
294.942000	1994.755787	0.200000
294.941000	1995.205521	0.200000
294.936500	1995.311019	0.200000
294.939000	1993.992102	0.200000
294.933500	1994.210806	0.200000
294.930000	1993.697921	0.200000
294.932000	1994.300290	0.200000
294.933000	1994.990579	0.200000
294.935500	1995.928306	0.200000
294.941500	1995.165713	0.200000
294.926500	1993.775433	0.200000
294.925000	1994.944810	0.200000
294.931000	1994.751808	0.200000
294.930500	1996.007984	0.200000
294.926500	1995.125907	0.200000
294.917500	1995.386666	0.200000
294.928500	1994.153143	0.200000
294.913000	1995.052270	0.200000
294.917000	1995.520057	0.200000
294.926000	1994.009994	0.200000
294.909000	1995.036350	0.200000
294.911500	1994.103436	0.200000
294.908500	1994.459392	0.200000
294.910000	1994.328131	0.200000
294.912000	1995.366758	0.200000
294.908000	1994.284381	0.200000
294.901000	1994.654326	0.200000
294.898000	1994.564811	0.200000
294.906500	1994.556854	0.200000
294.896000	1994.761756	0.200000
294.889000	1995.332916	0.200000
294.884000	1994.934860	0.200000
294.889000	1995.709225	0.200000
294.895000	1995.844651	0.200000
294.892500	1996.093645	0.200000
294.891500	1995.573817	0.200000
294.880000	1995.123917	0.200000
294.890000	1995.553906	0.200000
294.877000	1996.119544	0.200000
294.876500	1995.918347	0.200000
294.875500	1995.687320	0.200000
294.869000	1995.766978	0.200000
294.853000	1996.085676	0.200000
294.870000	1996.815080	0.200000
294.865000	1997.588910	0.200000
294.863000	1997.010475	0.200000
294.859000	1996.442340	0.200000
294.861000	1996.484191	0.200000
294.856000	1995.836685	0.200000
294.851000	1996.512093	0.200000
294.853000	1995.313010	0.200000
294.843000	1997.421329	0.200000
294.839500	1997.056339	0.200000
294.831500	1996.278936	0.200000
294.837500	1996.998511	0.200000
294.839000	1996.948662	0.200000
294.828000	1996.914767	0.200000
294.828000	1996.785176	0.200000
294.822500	1996.840998	0.200000
294.825500	1997.118158	0.200000
294.808000	1996.561920	0.200000
294.816000	1997.521076	0.200000
294.816500	1996.645635	0.200000
294.809000	1997.062321	0.200000
294.809000	1997.343533	0.200000
294.801000	1997.660739	0.200000
294.795000	1997.070298	0.200000
294.796000	1998.287468	0.200000
294.785500	1997.862287	0.200000
294.789000	1997.716610	0.200000
294.772000	1998.986514	0.200000
294.781000	1998.155702	0.200000
294.777500	1999.220304	0.200000
294.770000	1999.402179	0.200000
294.765500	1998.469173	0.200000
294.764500	1998.141728	0.200000
294.752000	1999.144366	0.200000
294.751000	1999.560097	0.200000
294.751000	1999.060442	0.200000
294.739500	1997.638791	0.200000
294.745000	1998.537071	0.200000
294.731500	1998.864645	0.200000
294.734000	1998.678873	0.200000
294.729000	1999.118389	0.200000
294.720500	1998.782741	0.200000
294.713000	1998.690857	0.200000
294.715000	1999.166348	0.200000
294.704500	1999.212310	0.200000
294.701000	1999.320231	0.200000
294.688000	1999.264271	0.200000
294.686000	1999.630068	0.200000
294.682000	1999.480135	0.200000
294.676000	2000.313249	0.200000
294.673000	1999.766027	0.200000
294.665000	2000.342859	0.200000
294.668500	2000.729466	0.200000
294.661000	2000.685035	0.200000
294.654000	2001.561418	0.200000
294.646000	2001.048950	0.200000
294.636000	2001.776376	0.200000
294.633000	2000.500325	0.200000
294.627000	2002.564685	0.200000
294.617000	2002.097598	0.200000
294.614000	2002.226877	0.200000
294.613500	2002.727515	0.200000
294.604500	2003.340570	0.200000
294.598000	2002.661136	0.200000
294.590000	2002.877534	0.200000
294.584500	2003.297829	0.200000
294.578000	2002.842233	0.200000
294.577500	2003.320704	0.200000
294.569500	2004.229325	0.200000
294.564500	2004.359281	0.200000
294.557000	2003.628371	0.200000
294.541000	2004.385194	0.200000
294.540000	2004.408496	0.200000
294.537000	2003.871881	0.200000
294.522000	2004.873647	0.200000
294.515000	2005.093137	0.200000
294.514000	2005.296992	0.200000
294.507000	2004.953237	0.200000
294.488000	2006.042400	0.200000
294.489000	2006.039382	0.200000
294.476000	2006.405651	0.200000
294.479000	2006.963763	0.200000
294.466000	2008.019830	0.200000
294.463500	2006.886631	0.200000
294.458000	2007.250188	0.200000
294.446000	2006.970409	0.200000
294.439000	2007.140402	0.200000
294.426000	2007.955318	0.200000
294.422000	2008.537893	0.200000
294.404000	2007.405318	0.200000
294.397000	2007.922257	0.200000
294.396000	2007.739232	0.200000
294.384500	2009.253618	0.200000
294.379000	2010.319776	0.200000
294.382000	2009.542312	0.200000
294.358000	2009.682045	0.200000
294.357000	2009.694162	0.200000
294.343000	2010.793133	0.200000
294.342500	2012.060289	0.200000
294.324000	2010.099140	0.200000
294.311000	2010.416571	0.200000
294.308500	2011.101886	0.200000
294.304000	2011.186218	0.200000
294.285500	2011.662007	0.200000
294.284000	2012.074054	0.200000
294.267000	2012.315573	0.200000
294.258000	2012.234992	0.200000
294.251500	2011.450989	0.200000
294.240500	2012.667933	0.200000
294.231500	2012.934311	0.200000
294.224500	2013.730622	0.200000
294.226000	2013.206433	0.200000
294.202000	2013.474169	0.200000
294.198500	2013.847619	0.200000
294.185000	2013.960370	0.200000
294.169500	2014.344550	0.200000
294.168000	2015.737873	0.200000
294.157000	2016.556331	0.200000
294.147000	2017.129870	0.200000
294.131500	2016.544538	0.200000
294.121000	2017.694576	0.200000
294.110500	2017.525436	0.200000
294.099500	2018.217643	0.200000
294.087000	2018.174876	0.200000
294.086000	2018.998575	0.200000
294.066500	2018.657238	0.200000
294.064500	2018.936616	0.200000
294.044500	2019.271320	0.200000
294.036000	2019.025683	0.200000
294.021000	2019.278455	0.200000
294.020000	2019.836817	0.200000
294.003000	2019.224634	0.200000
293.985000	2020.860739	0.200000
293.987000	2020.509995	0.200000
293.963000	2021.187502	0.200000
293.958000	2023.089521	0.200000
293.949000	2022.626516	0.200000
293.924500	2022.693406	0.200000
293.918000	2023.244039	0.200000
293.911000	2023.526326	0.200000
293.896500	2023.305648	0.200000
293.887000	2024.026818	0.200000
293.865000	2024.198278	0.200000
293.850000	2025.214734	0.200000
293.839000	2025.755455	0.200000
293.828500	2026.481452	0.200000
293.817500	2025.725293	0.200000
293.796000	2027.395999	0.200000
293.792000	2027.830760	0.200000
293.790500	2027.769081	0.200000
293.772500	2028.479857	0.200000
293.752000	2029.178162	0.200000
293.740000	2028.889767	0.200000
293.719000	2029.308491	0.200000
293.710500	2031.229545	0.200000
293.704000	2030.768375	0.200000
293.680000	2031.677922	0.200000
293.669000	2031.239241	0.200000
293.661000	2031.774309	0.200000
293.639000	2033.081282	0.200000
293.634000	2032.439978	0.200000
293.617000	2032.512476	0.200000
293.600500	2032.768637	0.200000
293.589500	2034.964972	0.200000
293.576000	2034.707843	0.200000
293.557000	2034.821493	0.200000
293.542000	2034.980915	0.200000
293.532500	2035.626517	0.200000
293.514000	2035.681631	0.200000
293.492000	2036.360645	0.200000
293.480000	2035.784822	0.200000
293.469000	2036.677714	0.200000
293.455500	2036.991356	0.200000
293.431000	2037.658164	0.200000
293.418000	2038.330603	0.200000
293.411000	2038.504704	0.200000
293.387500	2038.870454	0.200000
293.372000	2038.549376	0.200000
293.360500	2040.277319	0.200000
293.341500	2041.242071	0.200000
