DataName,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho
Units,,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
DataValue,1.0,1.0,-1.34,359575.04767093435,-3.671e-06,4.91914e-06,-1.74,1760.0,1.0,1.0,-1.82,320855.61497326207,-5.61e-06,1.02102e-05,-0.74,706976.7441860464,1.0,1.0,-2.14,73803.30722367276,-2.8725e-05,6.14715e-05,-0.30000000000000004,361214.5840388306,1.0,1.0,-1.7,15180.265654648956,-0.00011067,0.00018813899999999998,-0.7,51355.20684736091,1.0,1.0,-0.8200000000000001,2953.6643898836996,-0.00027085,0.000222097,-2.34,2359.882005899705
DataValue,1.0,2.0,-0.5,580.2006527257342,-0.0008273,0.00041365,-1.74,1760.0,1.0,2.0,-1.82,160556.59620016057,-1.1211e-05,2.040402e-05,-0.30000000000000004,699606.47135986,1.0,2.0,-0.66,981.5950920245399,-0.000652,0.00043032000000000004,-0.26,4379.790395745346,1.0,2.0,-1.58,20081.096736821783,-7.7685e-05,0.0001227423,-0.38,63156.232730717624,1.0,2.0,-0.8200000000000001,2668.44563042028,-0.0002998,0.00024583600000000004,-2.5,2520.1260063003147
DataValue,1.0,3.0,-0.5,557.1353955080958,-0.00086155,0.000430775,-0.78,799.9600019999001,1.0,3.0,-1.82,173535.7917570499,-1.03725e-05,1.887795e-05,-0.1,750469.04315197,1.0,3.0,-0.66,935.6041225056649,-0.00068405,0.000451473,-1.5,1519.9240037998102,1.0,3.0,-1.54,21408.45070422535,-7.1e-05,0.00010934000000000001,-1.46,23210.22504508743,1.0,3.0,-0.8200000000000001,2959.1270575180324,-0.00027035,0.000221687,-2.86,2879.85600719964
DataValue,1.0,4.0,-0.5,548.289451139414,-0.00087545,0.000437725,-0.5,520.0,1.0,4.0,-1.82,169395.82156973463,-1.0626e-05,1.933932e-05,-1.18,352371.16429305536,1.0,4.0,-0.66,985.525100092393,-0.0006494,0.00042860399999999996,-3.14,3159.8420078996055,1.0,4.0,-1.54,21177.290142807386,-7.1775e-05,0.0001105335,-1.06,38482.09513629076,1.0,4.0,-0.86,2933.9853300733494,-0.0002863,0.00024621800000000003,-1.38,1399.930003499825
DataValue,1.0,5.0,-0.45999999999999996,570.3545271890596,-0.00077145,0.000354867,-2.3,2320.0,1.0,5.0,-2.34,117230.92470944922,-1.979e-05,4.630859999999999e-05,-0.9,454096.74234945705,1.0,5.0,-0.66,954.3692215926036,-0.0006706,0.00044259600000000007,-3.14,3159.8420078996055,1.0,5.0,-1.5,23148.51020567764,-6.3935e-05,9.590250000000001e-05,-0.38,63507.18425021831,1.0,5.0,-0.9,3279.9105478941483,-0.0002683,0.00024147000000000003,-1.94,1960.0
DataValue,1.0,6.0,-0.45999999999999996,572.7302310445818,-0.00076825,0.000353395,-1.5,1519.9240037998102,1.0,6.0,-2.18,140077.82101167314,-1.542e-05,3.3615600000000004e-05,-0.45999999999999996,779790.4313215823,1.0,6.0,-0.66,956.0086638285159,-0.00066945,0.00044183700000000005,-1.8599999999999999,1879.9999999999998,1.0,6.0,-1.5,22799.044904875605,-6.4915e-05,9.73725e-05,-0.26,66889.63210702341,1.0,6.0,-0.94,3883.4951456310678,-0.0002369,0.000222686,-0.14,11644.832605531295
DataValue,1.0,7.0,-0.45999999999999996,568.5121777892629,-0.00077395,0.000356017,-1.94,1960.0,1.0,7.0,-1.8599999999999999,177349.39759036145,-1.0375e-05,1.92975e-05,-0.1,907372.4007561436,1.0,7.0,-0.66,955.223880597015,-0.00067,0.0004422,-0.26,48064.543815981466,1.0,7.0,-1.42,25436.046511627905,-5.504e-05,7.81568e-05,-0.7,51557.46509129968,1.0,7.0,-1.06,4118.811881188119,-0.0002525,0.00026765000000000003,-2.3,2320.1160058002897
DataValue,1.0,8.0,-0.45999999999999996,566.4263645726055,-0.0007768,0.00035732799999999996,-2.9,2920.0,1.0,8.0,-1.66,185331.67589558143,-8.849e-06,1.4689339999999998e-05,-1.46,268164.5225584345,1.0,8.0,-0.5800000000000001,8322.805974585717,-6.7285e-05,3.902530000000001e-05,-1.82,1840.0,1.0,8.0,-1.46,24390.243902439026,-5.904e-05,8.619839999999999e-05,-1.7,1720.0,1.0,8.0,-1.18,3600.2482929857224,-0.0003222,0.000380196,-0.66,8579.359071410548
DataValue,1.0,9.0,-0.45999999999999996,568.0717836162933,-0.00077455,0.000356293,-2.06,2080.0,1.0,9.0,-1.66,178639.50765208865,-9.1805e-06,1.523963e-05,-1.46,236365.08823764272,1.0,9.0,-0.5800000000000001,10964.2682329907,-5.1075e-05,2.9623500000000005e-05,-0.94,960.0,1.0,9.0,-1.42,25669.233590025666,-5.454e-05,7.74468e-05,-2.82,2839.71602839716,1.0,9.0,-1.18,3509.8335854765505,-0.0003305,0.00038999,-0.33999999999999997,10982.306284319706
DataValue,1.0,10.0,-0.45999999999999996,571.3172758553528,-0.00077015,0.000354269,-0.5,520.0,1.0,10.0,-1.58,178031.38373751784,-8.7625e-06,1.384475e-05,-1.7,1720.0,1.0,10.0,-0.5800000000000001,20698.576972833118,-2.7055e-05,1.56919e-05,-0.1,142272.80810955004,1.0,10.0,-1.42,25321.034545125698,-5.529e-05,7.85118e-05,-0.22,68385.80994443652,1.0,10.0,-1.1400000000000001,3971.631205673759,-0.000282,0.0003214800000000001,-0.8200000000000001,7121.66172106825
DataValue,1.0,11.0,-0.45999999999999996,567.6686879112373,-0.0007751,0.000356546,-1.54,1560.0,1.0,11.0,-1.5,188391.03869653767,-7.856e-06,1.1784000000000001e-05,-2.06,2080.0,1.0,11.0,-0.62,8200.642383653387,-7.3165e-05,4.53623e-05,-0.26,105045.95760645282,1.0,11.0,-1.42,25298.15684857246,-5.534e-05,7.85828e-05,-2.94,2959.70402959704,1.0,11.0,-1.18,3477.218225419664,-0.0003336,0.00039364799999999997,-0.42000000000000004,10437.670501719844
DataValue,1.0,12.0,-0.45999999999999996,566.7546853867457,-0.00077635,0.00035712099999999996,-0.94,960.0,1.0,12.0,-1.5,162218.4468679783,-9.1235e-06,1.3685249999999999e-05,-2.62,2640.0,1.0,12.0,-0.5800000000000001,26723.932235743265,-2.0955e-05,1.21539e-05,-0.45999999999999996,55648.947887079004,1.0,12.0,-1.34,28135.99062133646,-4.6915e-05,6.286610000000001e-05,-1.02,39326.90489695595,1.0,12.0,-1.18,3598.014888337469,-0.0003224,0.00038043199999999994,-0.98,5613.247263541959
