DataName,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho
Units,,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
DataValue,1.0,1.0,2.42,77332.04446592557,3.1035e-05,7.510469999999999e-05,0.5,528535.8540427912,1.0,1.0,2.18,71452.19980152167,3.023e-05,6.59014e-05,0.5800000000000001,422832.9809725158,1.0,1.0,2.38,41707.16621012636,5.6585e-05,0.0001346723,0.14,343753.35696637665,1.0,1.0,1.62,16401.845207585855,9.755e-05,0.00015803100000000002,0.54,49937.57802746567,1.0,1.0,0.94,2535.1336456324057,0.0003629,0.00034112599999999997,0.1,12342.504499871431
DataValue,1.0,2.0,2.78,76741.27624078965,3.5965e-05,9.998269999999999e-05,0.74,530541.0122164049,1.0,2.0,2.18,63250.36603221083,3.415e-05,7.444700000000001e-05,0.86,323291.69728141074,1.0,2.0,2.3,39583.33333333333,5.76e-05,0.00013247999999999998,0.9,200326.61948829616,1.0,2.0,1.46,19004.883199155338,7.577e-05,0.0001106242,2.46,2479.628055791631,1.0,2.0,0.9,2970.464135021097,0.00029625,0.00026662500000000004,1.3,1319.9340032998352
DataValue,1.0,3.0,2.74,95977.41707833452,2.834e-05,7.765160000000001e-05,2.7,95977.41707833452,1.0,3.0,2.22,56869.587695489216,3.8685e-05,8.58807e-05,0.26,467328.71568054747,1.0,3.0,2.3,40429.116056387975,5.6395e-05,0.00012970849999999998,0.94,193081.25502815767,1.0,3.0,1.46,18601.04630885487,7.7415e-05,0.0001130259,1.58,1599.8400159984,1.0,3.0,0.9,2985.5810008481767,0.00029475,0.000265275,0.06,12460.088778132545
DataValue,1.0,4.0,2.78,92524.30439155213,2.983e-05,8.29274e-05,0.74,539772.7272727273,1.0,4.0,2.22,71533.08405137376,3.0755e-05,6.82761e-05,0.1,506435.95695294364,1.0,4.0,2.3,39128.19632744122,5.827e-05,0.00013402099999999998,0.30000000000000004,273855.37013264874,1.0,4.0,1.46,18679.465559735374,7.709e-05,0.00011255139999999999,0.26,54623.48809988296,1.0,4.0,0.9,2607.021182047104,0.00033755,0.000303795,0.86,2607.021182047104
DataValue,1.0,5.0,2.78,93369.41813261162,2.956e-05,8.21768e-05,0.02,651412.7514046087,1.0,5.0,2.26,61887.00096698439,3.6195e-05,8.180069999999999e-05,0.94,319520.71892161755,1.0,5.0,2.3,39402.0565108442,5.7865e-05,0.0001330895,1.46,130104.17124521999,1.0,5.0,1.46,18619.084561675718,7.734e-05,0.0001129164,0.30000000000000004,53849.38998737905,1.0,5.0,0.9,2597.4025974025976,0.0003388,0.00030492000000000003,2.5,2519.7480251974803
DataValue,1.0,6.0,2.78,96033.40292275573,2.874e-05,7.98972e-05,0.45999999999999996,599737.6147935279,1.0,6.0,2.3,71608.04020100502,3.184e-05,7.323199999999999e-05,0.86,362438.2207578254,1.0,6.0,2.3,40311.17397454031,5.656e-05,0.000130088,1.02,181153.10921442258,1.0,6.0,1.46,19103.210400636774,7.538e-05,0.0001100548,1.62,1640.0820041002048,1.0,6.0,0.9,2560.0,0.00034375,0.00030937499999999997,0.7,7123.775601068565
DataValue,1.0,7.0,2.78,95700.4160887656,2.884e-05,8.017519999999998e-05,0.78,532623.1691078562,1.0,7.0,2.38,62129.78807423983,3.7985e-05,9.04043e-05,0.78,398704.21131323196,1.0,7.0,2.3,40137.311856350665,5.6805e-05,0.0001306515,0.62,232136.38012332245,1.0,7.0,1.5,17093.02997054917,8.6585e-05,0.00012987749999999998,2.54,2560.5121024204846,1.0,7.0,0.9,2538.9497980380843,0.0003466,0.00031194,0.9,919.9540022998851
DataValue,1.0,8.0,2.78,97681.82622544681,2.8255e-05,7.854889999999999e-05,2.5,163371.1507293355,1.0,8.0,2.42,61999.48333763885,3.871e-05,9.36782e-05,0.22,556392.720528573,1.0,8.0,2.34,33772.47252347332,6.8695e-05,0.00016074630000000002,0.86,205775.75119840994,1.0,8.0,1.5,17213.305419865086,8.598e-05,0.00012897,0.45999999999999996,51104.60473782273,1.0,8.0,0.9,2395.2095808383233,0.0003674,0.00033066,1.54,1559.8440155984401
DataValue,1.0,9.0,2.82,82256.16921269095,3.404e-05,9.599279999999999e-05,2.42,188854.48916408667,1.0,9.0,2.42,75626.28013234599,3.1735e-05,7.67987e-05,0.8200000000000001,425101.2145748988,1.0,9.0,2.34,32636.983892523032,7.1085e-05,0.0001663389,0.5,251755.02299685308,1.0,9.0,1.46,19855.222337125128,7.2525e-05,0.0001058865,0.62,46562.38632229902,1.0,9.0,0.9,2408.9789214344373,0.0003653,0.00032877,2.74,2759.862006899655
DataValue,1.0,10.0,2.82,98591.54929577465,2.84e-05,8.0088e-05,0.14,646725.9498787388,1.0,10.0,2.54,63524.073607259896,3.967e-05,0.0001007618,1.22,361726.9544924154,1.0,10.0,2.34,32554.549919315228,7.1265e-05,0.0001667601,0.1,296772.59799678496,1.0,10.0,1.5,17353.579175704992,8.5285e-05,0.0001279275,0.62,46698.28529733674,1.0,10.0,0.9,2369.732058704726,0.00037135,0.000334215,3.14,3159.8420078996055
DataValue,1.0,11.0,2.82,103016.92420897719,2.718e-05,7.66476e-05,1.3,438101.5599070694,1.0,11.0,2.58,73352.43553008596,3.49e-05,9.0042e-05,0.02,673060.7437321219,1.0,11.0,2.34,33431.803444052166,6.9395e-05,0.00016238429999999998,1.1400000000000001,168213.45707656612,1.0,11.0,1.5,17498.22653109482,8.458e-05,0.00012687,0.74,43132.80363223609,1.0,11.0,0.9,2517.5225289658133,0.00034955,0.00031459500000000003,0.22,11816.838995568685
DataValue,1.0,12.0,2.86,87170.04297114794,3.258e-05,9.317880000000001e-05,0.42000000000000004,605102.1109812281,1.0,12.0,2.66,67944.92343327757,3.8855e-05,0.00010335430000000001,0.8200000000000001,523527.57868494856,1.0,12.0,2.3,41170.09750812567,5.538e-05,0.000127374,0.1,292575.88687065704,1.0,12.0,1.5,17600.19027232727,8.409e-05,0.000126135,1.94,1960.5881764529356,1.0,12.0,0.9,2538.9497980380843,0.0003466,0.00031194,0.42000000000000004,10484.927916120576
DataValue,1.0,13.0,2.86,89336.26926706512,3.179e-05,9.091939999999999e-05,0.22,633579.7254487857,1.0,13.0,2.7,74996.50202882328,3.5735e-05,9.648450000000001e-05,0.5,642888.0509365149,1.0,13.0,2.34,32837.93347487615,7.065e-05,0.00016532099999999998,0.45999999999999996,257303.67193781826,1.0,13.0,1.46,19951.506754416347,7.2175e-05,0.00010537550000000001,0.26,56582.802869556435,1.0,13.0,0.9,2481.31961088397,0.00035465,0.000319185,0.5,9763.42470897484
