DataName,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith,Ith
Units,A,A,A,A,A,A,A,A,A,A
Size,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,9.755e-05,9.8295e-05,0.00012765,8.71e-05,8.2305e-05,0.00014245,7.879e-05,9.385e-05,0.0001332,0.000109735
DataValue,7.577e-05,9.09e-05,0.000115005,7.44e-05,7.5655e-05,0.00014905,9.272e-05,7.8395e-05,0.00012945,0.00011465
DataValue,7.7415e-05,8.5155e-05,0.000114725,7.4025e-05,7.4125e-05,0.00014775,7.962e-05,7.598e-05,0.00012585,0.00011327
DataValue,7.709e-05,9.8475e-05,0.0001167,8.4735e-05,8.1425e-05,0.00014605,8.9105e-05,8.663e-05,0.0001232,0.00011034
DataValue,7.734e-05,9.403e-05,0.00011355,7.321e-05,8.043e-05,0.00014245,8.913e-05,8.2725e-05,0.0001225,9.378e-05
DataValue,7.538e-05,0.000108585,0.00014005,8.299e-05,8.271e-05,0.000141,8.746e-05,8.4585e-05,0.00015705,0.000115025
DataValue,8.6585e-05,0.00010589,0.0001393,8.177e-05,7.3735e-05,0.0001448,9.7515e-05,8.2565e-05,0.0001222,9.466e-05
DataValue,8.598e-05,0.00010407,0.0001378,7.2115e-05,8.351e-05,0.0001415,9.671e-05,8.1135e-05,0.0001224,9.3695e-05
DataValue,7.2525e-05,0.00010122,0.00013545,8.165e-05,7.326e-05,0.00013875,9.599e-05,8.2935e-05,0.0001543,9.3815e-05
DataValue,8.5285e-05,9.891e-05,0.0001322,7.925e-05,8.325e-05,0.0001388,9.655e-05,7.7765e-05,0.0001204,0.00011064
DataValue,8.458e-05,9.8765e-05,0.00013185,8.1955e-05,7.203e-05,0.00013745,9.4e-05,7.7955e-05,0.000154,0.000106445
DataValue,8.409e-05,9.7e-05,0.00013245,7.2725e-05,7.3535e-05,0.00013455,9.3995e-05,7.893e-05,0.00015875,0.000108355
DataValue,7.2175e-05,9.6685e-05,0.0001303,7.2315e-05,7.1645e-05,0.0001336,9.3325e-05,7.75e-05,0.0001507,0.000104905
DataValue,8.013e-05,0.000114325,0.0001316,7.2455e-05,7.1945e-05,0.00013305,9.2435e-05,7.5755e-05,0.00014635,0.000106685
DataValue,7.9755e-05,0.000111085,0.00013125,7.1575e-05,7.9695e-05,0.0001329,9.0645e-05,8.607e-05,0.00014815,0.000105875
DataValue,7.8005e-05,0.00010926,0.00013575,7.185e-05,7.9975e-05,0.00013435,9.0515e-05,7.716e-05,0.00014635,0.00010538
DataValue,7.87e-05,0.00010743,0.00013475,7.1965e-05,7.8855e-05,0.00013655,0.00010307,7.497e-05,0.00014645,0.00010666
DataValue,7.8965e-05,0.0001305,0.000135,8.125e-05,7.618e-05,0.00013835,0.000101095,8.6995e-05,0.00014715,9.2665e-05
DataValue,7.637e-05,0.000133,0.00013245,7.1195e-05,7.677e-05,0.00013505,0.000100335,8.6035e-05,0.0001439,0.00010603
DataValue,7.7595e-05,0.0001252,0.00013815,7.951e-05,7.7315e-05,0.0001366,9.9555e-05,8.8675e-05,0.00014075,0.00010373
DataValue,7.7465e-05,0.0001244,0.00013455,7.709e-05,7.5095e-05,0.0001366,9.8485e-05,8.696e-05,0.0001384,0.00010225
DataValue,7.6655e-05,0.0001228,0.00013545,7.7725e-05,8.4285e-05,0.00013525,0.0001349,8.5335e-05,0.0001392,0.00010495
DataValue,7.639e-05,0.000126,0.0001342,7.671e-05,8.1475e-05,0.0001361,0.00012965,7.536e-05,0.0001419,0.000104305
DataValue,7.9955e-05,0.0001239,0.0001347,7.581e-05,8.3595e-05,0.00013515,0.000107795,8.5575e-05,0.00013765,0.00010355
DataValue,7.7775e-05,0.0001222,0.0001314,7.611e-05,8.0535e-05,0.0001354,0.0001247,7.4795e-05,0.00013875,0.00010206
DataValue,7.975e-05,0.0001216,0.000133,7.519e-05,8.219e-05,0.00013515,0.00012355,8.4665e-05,0.00013805,0.000101265
DataValue,7.8525e-05,0.00012025,0.0001332,7.5425e-05,8.0695e-05,0.00013385,0.00015315,8.208e-05,0.0001362,0.000104435
DataValue,7.8505e-05,0.0001219,0.00013065,7.4285e-05,8.2225e-05,0.00013495,0.0001501,8.3825e-05,0.0001365,0.00010084
