DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,12342.504499871431,10665.244634048793,11674.571324334185,2599.7400259974,13008.130081300813,12232.415902140672,11454.75372279496,12638.23064770932,14185.025932000533,885.4454897620366
DataValue,1319.9340032998352,9828.009828009828,10179.556058249682,2439.634054891766,13380.163907007862,12199.771254288982,11390.33245532854,12779.552715654952,14090.088503368412,878.4773060029281
DataValue,12460.088778132545,10608.672589842196,11564.593070881318,11703.80373621427,13365.633614568542,12527.40369558409,11031.439602868175,1959.9020048997552,14068.40763211114,834.0090350978802
DataValue,2607.021182047104,10615.006966098323,9814.746656851921,12063.332495601911,12961.762799740765,11997.600479904018,11403.32121730454,12572.027239392353,14298.480786416445,2999.700029997
DataValue,2519.7480251974803,10317.255610007738,1279.9360031998401,6516.290726817043,1839.8160183981602,12470.771628994544,11296.775711932218,13271.400132714003,1599.9200039998002,2839.858007099645
DataValue,7123.775601068565,10330.578512396694,612.3073783039086,7415.990730011587,13365.633614568542,11983.223487118035,9019.892083434002,13225.326500247975,14295.925661186562,844.8720957521708
DataValue,919.9540022998851,1759.91200439978,10814.986481266898,6985.679357317498,1599.9200039998002,639.9680015999201,11420.413990007139,12077.750518965842,13458.30329247777,937.8663540445486
DataValue,1559.8440155984401,1759.91200439978,2479.87600619969,5586.034912718205,13253.81047051027,12507.817385866167,11420.413990007139,12568.735271013355,13683.010262257694,961.4229059007331
DataValue,2759.862006899655,10180.275715800635,11428.57142857143,2359.882005899705,1199.8800119988,12535.255405828893,11380.610285226545,12771.39208173691,13451.837617103052,967.7419354838709
DataValue,3159.8420078996055,10612.190754128806,10844.306738962046,1519.9240037998102,12987.012987012986,12185.833968012186,2559.6160575913614,12767.315671879987,14339.48736332676,3319.66803319668
DataValue,11816.838995568685,10612.894667020431,1879.906004699765,2519.7480251974803,13258.935970388375,12349.490583513429,11169.284467713787,10205.011389521642,14283.163720764149,719.92800719928
DataValue,10484.927916120576,10624.169986719788,11594.202898550726,2799.86000699965,11509.285901124771,11990.407673860913,1439.92800359982,12795.905310300703,14279.3395805444,1279.87201279872
DataValue,9763.42470897484,1239.938003099845,11598.685482312003,14511.155450752765,13130.898645876077,12519.561815336463,11444.921316165952,12908.43081887858,14288.265761743169,754.1833608296017
DataValue,1560.0,9829.519275072953,11461.31805157593,3159.8420078996055,1759.91200439978,11979.634621144056,11377.373248951148,8600.095556617294,1359.9320033998301,1559.922003899805
DataValue,12204.424103737605,10602.345769001391,11277.135607555681,2759.4481103779244,13130.898645876077,10162.836355237327,11409.013120365089,13198.053287140146,10057.270568515156,3119.6880311968803
DataValue,12447.487163528864,10306.62200463798,11706.17500731636,5626.726953026879,12561.686855091972,1959.80401959804,11422.04454597373,12934.518997574778,1599.9200039998002,1079.8380242963556
DataValue,12012.012012012012,10608.672589842196,11704.462326261888,14044.94382022472,2319.7680231976797,11498.973305954827,11258.619880846272,13247.22636198046,8951.883625512868,1959.80401959804
DataValue,11816.838995568685,10652.463382157124,839.91600839916,10267.25049071418,12970.168612191957,12454.269479255858,11381.419832124058,1079.8920107989202,11099.805753399314,2679.8660066996654
DataValue,1480.0,1359.8640135986402,1199.8800119988,2719.7280271972804,13341.115650796299,12525.442304681384,1319.9340032998352,13201.320132013203,14146.772767462422,1079.8920107989202
DataValue,2839.71602839716,10659.560293137909,999.950002499875,12410.09730644479,13237.727523441808,12329.822758797842,11180.992313067785,12950.222581950628,5132.591958939264,1879.8120187981199
DataValue,8372.032179998692,2039.79602039796,2799.7200279972,14249.454513069422,13402.579996649356,12318.431453061643,2759.862006899655,3359.66403359664,1879.8120187981199,764.087870105062
