DataName,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho,Vho
Units,V,V,V,V,V,V,V,V,V,V
Size,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,0.14,0.5,1.9,0.9,0.42000000000000004,0.45999999999999996,0.18,0.5,1.26,0.9
DataValue,0.9,0.74,1.74,0.78,1.78,1.78,0.9,0.22,0.94,1.9
DataValue,0.94,0.78,2.1,0.06,0.02,0.02,0.33999999999999997,0.26,1.18,0.78
DataValue,0.30000000000000004,1.74,1.3,0.26,0.78,0.1,1.02,0.9,0.30000000000000004,1.26
DataValue,1.46,1.22,0.98,0.66,0.02,0.54,1.38,1.8599999999999999,1.38,0.94
DataValue,1.02,0.18,0.54,0.02,0.54,0.02,1.02,1.62,1.1,1.98
DataValue,0.62,1.18,1.8599999999999999,0.26,0.33999999999999997,0.02,1.34,1.54,0.78,0.86
DataValue,0.86,0.30000000000000004,1.58,0.30000000000000004,0.30000000000000004,0.06,1.1,0.18,0.8200000000000001,0.45999999999999996
DataValue,0.5,0.62,2.14,0.98,0.74,0.62,0.22,0.02,0.54,1.06
DataValue,0.1,1.02,0.86,0.30000000000000004,1.38,0.18,0.22,1.66,0.5800000000000001,0.02
DataValue,1.1400000000000001,0.86,2.26,1.82,0.02,0.30000000000000004,1.38,0.86,0.14,1.46
DataValue,0.1,0.14,0.06,1.74,0.74,0.66,0.22,1.1400000000000001,1.3,0.78
DataValue,0.45999999999999996,0.14,0.66,0.1,0.45999999999999996,0.42000000000000004,0.30000000000000004,1.62,1.74,1.18
DataValue,0.26,1.78,2.06,0.22,1.7,0.45999999999999996,0.78,0.8200000000000001,0.22,1.66
DataValue,0.86,2.46,1.78,1.82,0.14,0.33999999999999997,0.86,0.38,0.06,0.45999999999999996
DataValue,0.94,0.02,0.86,0.18,0.74,1.46,0.18,1.5,0.02,0.14
DataValue,1.02,0.02,1.54,0.38,1.02,0.30000000000000004,0.33999999999999997,0.54,0.5800000000000001,1.78
DataValue,0.1,0.5,0.38,0.78,0.74,1.5,0.78,2.9,0.26,0.02
DataValue,0.5,1.22,0.14,1.26,0.38,0.22,0.78,0.7,0.02,0.86
DataValue,1.54,0.26,0.62,0.18,0.78,0.98,0.45999999999999996,2.02,0.22,1.34
DataValue,1.5,0.30000000000000004,0.45999999999999996,0.62,1.66,1.82,1.34,1.66,1.74,1.42
DataValue,1.46,0.22,0.86,0.5,0.66,0.18,0.02,2.94,1.26,1.82
DataValue,0.45999999999999996,1.02,1.22,0.7,0.5,1.1,1.26,1.98,0.78,0.66
DataValue,0.42000000000000004,1.3,1.42,0.14,0.06,1.06,1.74,1.02,0.94,0.14
DataValue,1.1,2.5,1.06,1.54,0.38,1.38,1.46,2.86,0.5800000000000001,0.14
DataValue,1.02,0.26,2.02,1.5,1.54,0.66,0.1,0.45999999999999996,1.38,0.06
DataValue,0.86,0.78,1.9,0.18,0.7,0.1,1.06,0.5800000000000001,0.7,0.06
DataValue,0.78,0.78,1.66,0.5800000000000001,0.62,0.38,1.7,0.30000000000000004,1.06,1.02
DataValue,0.22,0.06,1.54,0.7,0.22,1.9,1.38,0.02,0.06,0.33999999999999997
DataValue,0.18,0.78,1.02,0.62,0.8200000000000001,0.1,1.02,2.98,0.30000000000000004,0.06
DataValue,0.7,2.62,1.82,0.7,1.74,0.86,0.86,1.38,0.33999999999999997,1.38
DataValue,1.02,2.14,1.26,0.5,0.9,0.74,0.5800000000000001,0.8200000000000001,0.1,0.42000000000000004
DataValue,1.06,1.06,1.58,0.8200000000000001,0.22,0.18,0.14,0.9,0.1,0.8200000000000001
DataValue,0.94,0.9,1.7,0.14,0.1,1.66,0.22,1.62,0.26,0.06
DataValue,0.8200000000000001,0.38,0.14,0.18,0.74,0.66,0.22,1.3,1.74,0.38
DataValue,1.26,0.5800000000000001,1.8599999999999999,1.7,0.66,1.7,0.5,0.45999999999999996,0.7,1.38
DataValue,0.74,0.54,2.22,0.02,1.98,0.06,0.78,0.02,1.62,0.33999999999999997
DataValue,0.62,0.02,1.94,0.22,0.1,0.66,0.8200000000000001,0.26,0.5,0.22
DataValue,0.7,0.18,2.34,1.54,1.3,1.34,0.38,1.54,1.34,1.02
DataValue,1.1,1.74,1.22,0.45999999999999996,1.06,0.74,1.02,2.5,1.5,0.06
DataValue,1.1,0.26,0.42000000000000004,0.1,0.18,1.54,1.54,0.30000000000000004,0.7,0.78
DataValue,1.62,0.66,1.26,1.46,0.02,0.14,1.18,2.86,0.30000000000000004,0.7
DataValue,0.8200000000000001,2.86,1.78,0.45999999999999996,0.94,0.78,0.22,0.22,0.54,1.8599999999999999
DataValue,0.45999999999999996,3.06,1.98,0.33999999999999997,0.06,0.54,0.66,0.42000000000000004,1.02,1.1400000000000001
DataValue,0.38,2.74,0.30000000000000004,1.22,0.30000000000000004,1.5,0.06,2.82,1.5,0.8200000000000001
DataValue,0.62,0.86,0.14,1.46,0.22,0.38,1.38,1.74,1.78,1.54
DataValue,0.8200000000000001,0.22,2.18,0.1,0.18,0.38,0.66,1.94,2.9,0.5800000000000001
DataValue,1.06,0.30000000000000004,0.06,1.46,1.18,0.78,1.46,2.22,1.46,0.7
DataValue,0.42000000000000004,0.18,0.78,0.45999999999999996,0.5,0.1,1.26,0.78,2.78,1.62
DataValue,1.3,1.8599999999999999,1.7,1.34,0.8200000000000001,0.14,1.26,2.34,1.38,1.1
DataValue,1.3,1.62,2.06,1.42,0.02,1.8599999999999999,1.58,0.8200000000000001,2.42,1.62
DataValue,0.78,1.1,0.33999999999999997,1.18,0.38,1.46,1.1400000000000001,2.3,0.22,1.18
DataValue,1.5,0.42000000000000004,1.3,1.1,0.78,0.33999999999999997,1.38,2.22,1.1,1.22
