DataName,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth
Units,V,V,V,V,V,V,V,V,V,V
Size,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,2.38,3.06,1.78,2.42,1.98,2.54,2.3,2.22,3.5,2.18
DataValue,2.3,2.82,1.78,2.38,2.02,2.9,2.26,2.22,2.1,2.14
DataValue,2.3,2.58,1.74,2.38,3.9,2.58,2.26,2.26,2.1,2.14
DataValue,2.3,2.14,1.66,2.3,3.58,2.26,2.26,2.26,2.1,2.14
DataValue,2.3,2.14,1.74,2.42,2.62,2.58,2.26,2.26,2.1,2.14
DataValue,2.3,2.14,1.7,2.18,2.22,2.62,2.26,2.26,2.1,2.14
DataValue,2.3,2.14,1.74,2.14,2.34,2.34,2.26,2.26,2.14,2.14
DataValue,2.34,2.18,1.74,2.18,2.22,2.22,2.26,2.26,2.14,2.14
DataValue,2.34,2.18,1.7,2.18,2.62,2.46,2.3,2.26,2.14,2.14
DataValue,2.34,2.18,1.74,2.18,2.14,2.66,2.26,2.26,2.14,2.14
DataValue,2.34,2.22,1.74,2.18,2.74,2.3,2.26,2.26,2.14,2.14
DataValue,2.3,2.22,1.74,2.18,3.18,2.66,2.26,2.26,2.14,2.22
DataValue,2.34,2.22,1.74,2.18,2.18,2.34,2.26,2.26,2.22,2.14
DataValue,2.34,2.18,1.78,2.22,2.22,2.1,2.3,2.26,2.5,2.14
DataValue,2.34,2.22,1.74,2.22,2.22,2.38,2.26,2.3,2.94,2.14
DataValue,2.34,2.22,1.82,2.22,2.22,2.38,2.3,2.26,2.18,2.14
DataValue,2.34,2.22,1.78,2.22,2.22,2.18,2.3,2.26,2.14,2.26
DataValue,2.34,2.22,1.8599999999999999,2.22,2.22,2.5,2.3,2.26,2.14,2.34
DataValue,2.34,2.22,1.82,2.22,2.22,2.94,2.3,2.26,2.26,2.14
DataValue,2.34,2.18,1.78,2.22,2.26,2.5,2.3,2.26,2.66,2.18
DataValue,2.38,2.14,1.74,2.22,2.26,3.74,2.3,2.26,3.42,2.14
DataValue,2.42,2.14,1.74,2.22,2.22,2.1,2.3,2.26,2.14,2.14
DataValue,2.38,2.14,1.78,2.26,2.26,2.1,2.3,2.26,2.14,2.18
DataValue,2.34,2.14,1.78,2.26,2.26,2.1,2.3,2.26,2.18,3.06
DataValue,2.38,2.14,1.78,2.26,2.26,2.1,2.26,2.26,2.18,2.98
DataValue,2.38,2.14,1.78,2.26,2.22,2.1,2.3,2.26,2.18,2.14
DataValue,2.38,2.14,1.78,2.26,2.26,2.1,2.3,2.26,2.14,2.14
DataValue,2.34,2.14,1.74,2.26,2.22,2.1,2.3,2.26,3.78,2.14
DataValue,2.38,2.14,1.74,2.26,2.26,2.1,2.3,2.26,2.62,2.14
DataValue,2.42,2.18,1.78,2.26,2.26,2.1,2.3,2.26,2.18,3.3
DataValue,2.34,2.18,1.82,2.26,2.26,2.1,2.3,2.3,2.18,3.5
DataValue,2.38,2.14,1.78,2.26,2.26,2.1,2.3,2.3,2.18,2.14
DataValue,2.38,2.14,1.78,2.26,2.26,2.1,2.3,2.26,2.14,2.18
DataValue,2.38,2.14,1.82,2.26,2.26,2.1,2.3,2.3,2.14,3.06
DataValue,2.38,2.1,1.8599999999999999,2.26,2.26,2.1,2.3,2.26,2.18,2.46
DataValue,2.38,2.18,1.8599999999999999,2.26,2.26,2.1,2.3,2.3,2.18,2.18
DataValue,2.38,2.1,1.8599999999999999,2.26,2.26,2.1,2.3,2.3,2.18,2.18
DataValue,2.42,2.1,1.82,2.26,2.26,2.1,2.3,2.3,2.18,2.18
DataValue,2.38,2.14,1.74,2.26,2.26,2.1,2.3,2.3,2.18,2.18
DataValue,2.38,2.1,1.78,2.26,2.26,2.1,2.3,2.3,2.18,2.18
DataValue,2.38,2.1,1.74,2.26,2.26,2.1,2.3,2.3,2.18,2.18
DataValue,2.42,2.1,1.74,2.26,2.26,2.1,2.3,2.26,2.18,2.18
DataValue,2.38,2.1,1.74,2.26,2.22,2.1,2.34,2.3,3.78,2.18
DataValue,2.42,2.1,1.74,2.26,2.22,2.1,2.3,2.3,2.18,2.18
DataValue,2.38,2.1,1.74,2.3,2.82,2.1,2.3,2.26,2.22,2.18
DataValue,2.42,2.1,1.74,2.3,2.22,2.1,2.34,2.26,2.22,2.18
DataValue,2.42,2.1,1.74,2.3,2.5,2.14,2.3,2.26,2.14,2.18
DataValue,2.42,2.1,1.82,2.3,2.22,2.1,2.3,2.26,2.14,2.18
DataValue,2.42,2.1,1.78,2.3,2.98,2.1,2.3,2.26,2.18,2.18
DataValue,2.42,2.06,1.74,2.3,2.26,2.1,2.34,2.26,2.14,2.18
DataValue,2.42,2.02,1.78,2.3,2.26,2.14,2.34,2.26,2.14,2.18
DataValue,2.42,2.06,1.78,2.26,2.26,2.1,2.34,2.26,2.14,2.18
DataValue,2.42,2.1,1.82,2.26,2.26,2.14,2.34,2.26,2.14,2.18
DataValue,2.46,2.1,1.8599999999999999,2.3,2.26,2.14,2.34,2.26,2.14,2.18
DataValue,2.5,2.02,1.82,2.3,2.26,2.14,2.34,2.26,2.1,2.18
DataValue,2.5,2.06,1.82,2.26,2.26,2.14,2.34,2.26,2.1,2.18
DataValue,2.46,2.06,1.8599999999999999,2.3,2.26,2.14,2.34,2.26,2.1,2.18
DataValue,2.42,2.06,1.8599999999999999,2.3,2.26,2.14,2.34,2.26,2.1,2.18
DataValue,2.42,2.06,1.82,2.3,2.26,2.14,2.34,2.26,2.1,2.22
DataValue,2.42,2.1,1.78,2.3,2.26,2.14,2.34,2.26,2.06,2.22
DataValue,2.46,2.1,1.78,2.3,2.26,2.14,2.34,2.26,3.86,2.18
