DataName,Avg. Ith,Std. Dev. Ith,Median. Ith,Avg. Ith,Std. Dev. Ith,Median. Ith,Avg. Ith,Std. Dev. Ith,Median. Ith,Avg. Ith,Std. Dev. Ith,Median. Ith,Avg. Ith,Std. Dev. Ith,Median. Ith
Units,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Size,50nm,50nm,50nm,80nm,80nm,80nm,120nm,120nm,120nm,170nm,170nm,170nm,220nm,220nm,220nm
DataValue,3.1035e-05,0.0,3.1035e-05,3.023000000000001e-05,1.0164395367051604e-20,3.023e-05,5.6585e-05,0.0,5.6585e-05,9.755e-05,0.0,9.755e-05,0.00036290000000000004,5.421010862427522e-20,0.0003629
DataValue,2.3899999999999998e-05,3.3881317890172014e-21,2.39e-05,2.6749999999999993e-05,6.776263578034403e-21,2.675e-05,0.00091625,0.0,0.00091625,9.829499999999999e-05,1.3552527156068805e-20,9.8295e-05,0.0003895999999999999,1.0842021724855044e-19,0.0003896
DataValue,2.456e-05,0.0,2.456e-05,2.1215000000000006e-05,6.776263578034403e-21,2.1215e-05,5.237500000000002e-05,2.0328790734103208e-20,5.2375e-05,0.00012765,0.0,0.00012765,0.00046165,0.0,0.00046165
DataValue,2.3694999999999996e-05,3.3881317890172014e-21,2.3695e-05,3.360500000000001e-05,6.776263578034403e-21,3.3605e-05,0.0010102500000000005,4.336808689942018e-19,0.00101025,8.709999999999999e-05,1.3552527156068805e-20,8.71e-05,0.00027785,0.0,0.00027785
DataValue,2.4109999999999998e-05,3.3881317890172014e-21,2.411e-05,3.5499999999999996e-05,6.776263578034403e-21,3.55e-05,3.8675000000000005e-05,6.776263578034403e-21,3.8675e-05,8.230499999999996e-05,4.0657581468206416e-20,8.2305e-05,0.0001824999999999999,8.131516293641283e-20,0.0001825
DataValue,2.686000000000001e-05,1.0164395367051604e-20,2.686e-05,2.946499999999999e-05,1.0164395367051604e-20,2.9465e-05,0.00088845,0.0,0.00088845,0.00014245,0.0,0.00014245,6.402499999999998e-05,1.3552527156068805e-20,6.4025e-05
DataValue,2.466000000000001e-05,1.0164395367051604e-20,2.466e-05,0.0010080499999999997,2.168404344971009e-19,0.00100805,6.0224999999999993e-05,6.776263578034403e-21,6.0225e-05,7.879000000000001e-05,1.3552527156068805e-20,7.879e-05,0.00017669999999999999,2.710505431213761e-20,0.0001767
DataValue,2.7600000000000003e-05,3.3881317890172014e-21,2.76e-05,3.055e-05,0.0,3.055e-05,6.193499999999998e-05,1.3552527156068805e-20,6.1935e-05,9.384999999999999e-05,1.3552527156068805e-20,9.385e-05,9.317000000000002e-05,1.3552527156068805e-20,9.317e-05
DataValue,2.718e-05,0.0,2.718e-05,3.7119999999999983e-05,1.3552527156068805e-20,3.712e-05,0.0009354,0.0,0.0009354,0.0001332,0.0,0.0001332,0.0003988,0.0,0.0003988
DataValue,2.439e-05,0.0,2.439e-05,0.0008734499999999997,3.2526065174565133e-19,0.00087345,6.601000000000001e-05,1.3552527156068805e-20,6.601e-05,0.00010973499999999996,4.0657581468206416e-20,0.000109735,0.00076835,0.0,0.00076835
