DataName,Avg. Rho,Std. Dev. Rho,Median. Rho,Avg. Rho,Std. Dev. Rho,Median. Rho,Avg. Rho,Std. Dev. Rho,Median. Rho,Avg. Rho,Std. Dev. Rho,Median. Rho,Avg. Rho,Std. Dev. Rho,Median. Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,50nm,50nm,50nm,80nm,80nm,80nm,120nm,120nm,120nm,170nm,170nm,170nm,220nm,220nm,220nm
DataValue,528535.8540427911,1.1641532182693481e-10,528535.8540427912,422832.98097251565,1.7462298274040222e-10,422832.9809725158,343753.35696637677,1.1641532182693481e-10,343753.35696637665,49937.57802746566,1.4551915228366852e-11,49937.57802746567,12342.504499871435,3.637978807091713e-12,12342.504499871431
DataValue,915593.7052932763,2.3283064365386963e-10,915593.7052932761,340925.7898603967,5.820766091346741e-11,340925.78986039676,262427.4539490285,0.0,262427.4539490285,55512.72166538164,7.275957614183426e-12,55512.72166538165,10665.244634048795,1.8189894035458565e-12,10665.244634048793
DataValue,838310.8037304832,1.1641532182693481e-10,838310.803730483,672551.4922236232,1.1641532182693481e-10,672551.4922236233,1903.8175508180468,4.547473508864641e-13,1903.8175508180464,1921.995603946225,2.2737367544323206e-13,1921.9956039462252,11674.571324334189,3.637978807091713e-12,11674.571324334185
DataValue,853788.6872998935,1.1641532182693481e-10,853788.6872998934,408435.0721420645,1.1641532182693481e-10,408435.0721420644,181102.36220472437,5.820766091346741e-11,181102.36220472443,24171.009895007177,0.0,24171.009895007177,2599.7400259974006,4.547473508864641e-13,2599.7400259974
DataValue,643863.1790744466,1.1641532182693481e-10,643863.1790744467,517966.97960505006,1.1641532182693481e-10,517966.9796050502,236114.83767104906,2.9103830456733704e-11,236114.83767104908,57992.02609641175,7.275957614183426e-12,57992.02609641174,13008.130081300815,1.8189894035458565e-12,13008.130081300813
DataValue,2778.771006793688,1.3642420526593924e-12,2778.7710067936864,613900.4604253453,0.0,613900.4604253453,224456.39466916065,2.9103830456733704e-11,224456.39466916063,43752.62936474548,0.0,43752.62936474548,12232.415902140674,1.8189894035458565e-12,12232.415902140672
DataValue,1182355.616189177,0.0,1182355.616189177,343495.0622584801,5.820766091346741e-11,343495.06225848006,288537.8345235519,0.0,288537.8345235519,1932.4624106482622,0.0,1932.4624106482622,11454.753722794967,7.275957614183426e-12,11454.75372279496
DataValue,543209.8765432099,0.0,543209.8765432099,462792.5322114122,1.1641532182693481e-10,462792.5322114121,275715.8006362672,5.820766091346741e-11,275715.80063626723,1760.649484031888,6.821210263296962e-13,1760.6494840318874,12638.230647709315,5.4569682106375694e-12,12638.23064770932
DataValue,313369.7556952891,0.0,313369.7556952891,241006.55679603052,2.9103830456733704e-11,241006.5567960305,125662.67425878659,1.4551915228366852e-11,125662.67425878657,55693.33855458382,7.275957614183426e-12,55693.338554583825,14185.025932000532,1.8189894035458565e-12,14185.025932000533
DataValue,118435.75418994411,1.4551915228366852e-11,118435.75418994413,321533.46730561135,0.0,321533.46730561135,173683.216915235,2.9103830456733704e-11,173683.21691523504,1967.9702796325114,2.2737367544323206e-13,1967.9702796325116,885.4454897620361,4.547473508864641e-13,885.4454897620366
