DataName,Avg. Vho,Std. Dev. Vho,Median. Vho,Avg. Vho,Std. Dev. Vho,Median. Vho,Avg. Vho,Std. Dev. Vho,Median. Vho,Avg. Vho,Std. Dev. Vho,Median. Vho,Avg. Vho,Std. Dev. Vho,Median. Vho
Units,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
Size,50nm,50nm,50nm,80nm,80nm,80nm,120nm,120nm,120nm,170nm,170nm,170nm,220nm,220nm,220nm
DataValue,0.5,0.0,0.5,0.58,1.1102230246251565e-16,0.5800000000000001,0.14000000000000007,5.551115123125783e-17,0.14,0.54,0.0,0.54,0.09999999999999998,2.7755575615628914e-17,0.1
DataValue,0.14000000000000007,5.551115123125783e-17,0.14,1.1400000000000003,2.220446049250313e-16,1.1400000000000001,0.5,0.0,0.5,0.7000000000000002,2.220446049250313e-16,0.7,0.019999999999999997,3.469446951953614e-18,0.02
DataValue,0.019999999999999997,3.469446951953614e-18,0.02,0.14000000000000007,5.551115123125783e-17,0.14,1.9,0.0,1.9,1.8600000000000003,4.440892098500626e-16,1.8599999999999999,0.06,0.0,0.06
DataValue,0.26,0.0,0.26,0.9000000000000005,4.440892098500626e-16,0.9,0.9000000000000005,4.440892098500626e-16,0.9,1.5800000000000005,4.440892098500626e-16,1.58,2.58,0.0,2.58
DataValue,0.9399999999999996,3.3306690738754696e-16,0.94,0.06,0.0,0.06,0.4200000000000001,5.551115123125783e-17,0.42000000000000004,0.14000000000000007,5.551115123125783e-17,0.14,0.17999999999999997,2.7755575615628914e-17,0.18
DataValue,2.6999999999999993,8.881784197001252e-16,2.7,0.26,0.0,0.26,0.46,5.551115123125783e-17,0.45999999999999996,1.0199999999999996,4.440892098500626e-16,1.02,0.14000000000000007,5.551115123125783e-17,0.14
DataValue,0.5,0.0,0.5,0.7800000000000001,1.1102230246251565e-16,0.78,0.17999999999999997,2.7755575615628914e-17,0.18,1.94,0.0,1.94,0.019999999999999997,3.469446951953614e-18,0.02
DataValue,0.86,0.0,0.86,0.86,0.0,0.86,0.5,0.0,0.5,1.7800000000000002,2.220446049250313e-16,1.78,0.22,0.0,0.22
DataValue,1.5,0.0,1.5,1.3400000000000003,2.220446049250313e-16,1.34,1.2600000000000002,2.220446049250313e-16,1.26,0.6199999999999999,1.1102230246251565e-16,0.62,0.14000000000000007,5.551115123125783e-17,0.14
DataValue,2.1,0.0,2.1,1.0199999999999996,4.440892098500626e-16,1.02,0.9000000000000005,4.440892098500626e-16,0.9,1.94,0.0,1.94,0.14000000000000007,5.551115123125783e-17,0.14
