DataName,Avg. Vth,Std. Dev. Vth,Median. Vth,Avg. Vth,Std. Dev. Vth,Median. Vth,Avg. Vth,Std. Dev. Vth,Median. Vth,Avg. Vth,Std. Dev. Vth,Median. Vth,Avg. Vth,Std. Dev. Vth,Median. Vth
Units,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
Size,50nm,50nm,50nm,80nm,80nm,80nm,120nm,120nm,120nm,170nm,170nm,170nm,220nm,220nm,220nm
DataValue,2.42,0.0,2.42,2.18,0.0,2.18,2.379999999999999,8.881784197001252e-16,2.38,1.6200000000000008,6.661338147750939e-16,1.62,0.9399999999999996,3.3306690738754696e-16,0.94
DataValue,2.660000000000001,8.881784197001252e-16,2.66,2.3000000000000007,8.881784197001252e-16,2.3,3.06,0.0,3.06,1.74,0.0,1.74,1.2200000000000002,2.220446049250313e-16,1.22
DataValue,2.379999999999999,8.881784197001252e-16,2.38,2.460000000000001,8.881784197001252e-16,2.46,1.7800000000000002,2.220446049250313e-16,1.78,1.7800000000000002,2.220446049250313e-16,1.78,0.58,1.1102230246251565e-16,0.5800000000000001
DataValue,2.379999999999999,8.881784197001252e-16,2.38,2.259999999999999,8.881784197001252e-16,2.26,2.42,0.0,2.42,1.699999999999999,8.881784197001252e-16,1.7,1.2200000000000002,2.220446049250313e-16,1.22
DataValue,2.460000000000001,8.881784197001252e-16,2.46,2.259999999999999,8.881784197001252e-16,2.26,1.9799999999999998,2.220446049250313e-16,1.98,1.5399999999999994,6.661338147750939e-16,1.54,1.0600000000000005,4.440892098500626e-16,1.06
DataValue,2.2199999999999998,4.440892098500626e-16,2.22,2.5,0.0,2.5,2.539999999999999,8.881784197001252e-16,2.54,1.8199999999999996,4.440892098500626e-16,1.82,0.58,1.1102230246251565e-16,0.5800000000000001
DataValue,2.6200000000000006,4.440892098500626e-16,2.62,3.8600000000000008,8.881784197001252e-16,3.86,2.3000000000000007,8.881784197001252e-16,2.3,1.5,0.0,1.5,0.9800000000000004,4.440892098500626e-16,0.98
DataValue,2.379999999999999,8.881784197001252e-16,2.38,2.379999999999999,8.881784197001252e-16,2.38,2.2199999999999998,4.440892098500626e-16,2.22,1.699999999999999,8.881784197001252e-16,1.7,0.7800000000000001,1.1102230246251565e-16,0.78
DataValue,2.379999999999999,8.881784197001252e-16,2.38,2.34,0.0,2.34,3.5,0.0,3.5,1.7800000000000002,2.220446049250313e-16,1.78,1.3400000000000003,2.220446049250313e-16,1.34
DataValue,2.2199999999999998,4.440892098500626e-16,2.22,3.06,0.0,3.06,2.18,0.0,2.18,1.74,0.0,1.74,0.54,0.0,0.54
